claim_id,paper_location,claim_text_or_value,source_file,line_or_key_or_cell,commit,producing_script_and_command,status,draft_value,correction_id
M028,macro \ptBestEpoch,56,stage1_spm_trainer_state_best.json,min eval_loss,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M029,macro \ptBestStep,"24{,}808",stage1_spm_trainer_state_best.json,min eval_loss,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M030,macro \ptBestLoss,3.7120,stage1_spm_trainer_state_best.json,min eval_loss,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M031,macro \ptEpochsConfigured,60,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,56,M-3
M032,macro \ptGPU,NVIDIA A100 80GB PCIe,stage1_summary_spm.json,hardware,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M033,macro \ptLR,$5 \times 10^{-5}$,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M034,macro \ptBatch,32,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M035,macro \ptWarmup,6\%,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M036,macro \ptWeightDecay,0.01,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M037,macro \ptClip,1.0,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M038,macro \ptPrecision,bf16,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,fp16,M-1
M039,macro \ptAdamEps,$1 \times 10^{-8}$,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M040,macro \ptAdamBetaOne,0.9,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M041,macro \ptAdamBetaTwo,0.999,training_args.json,stage1_spm,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M042,macro \ptMaxLen,256,configs/base.yaml,pretraining.max_seq_length,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M043,macro \ftLR,$2 \times 10^{-5}$,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M044,macro \ftBatch,32,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M045,macro \ftWarmup,10\%,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,unspecified warmup,M-5
M046,macro \ftWeightDecay,0.01,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M047,macro \ftClip,1.0,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M048,macro \ftPrecision,bf16,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,fp16,M-1
M049,macro \ftAdamEps,$1 \times 10^{-8}$,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M050,macro \ftAdamBetaOne,0.9,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M051,macro \ftAdamBetaTwo,0.999,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M052,macro \ftMaxLen,256,configs/base.yaml,finetuning.max_seq_length,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M053,macro \ftEpochs,4,training_args.json,finetune_amqa_seed42,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M054,macro \ptMLMProb,0.15,configs/base.yaml,pretraining.mlm_probability,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M055,macro \splitSATrain,"5{,}984",datasets/metadata/afrisenti.json,splits.train.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M056,macro \splitSAValidation,"1{,}497",datasets/metadata/afrisenti.json,splits.validation.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M057,macro \splitSATest,"1{,}999",datasets/metadata/afrisenti.json,splits.test.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M058,macro \splitNERAmhTrain,"1{,}750",datasets/metadata/masakhaner_amh.json,splits.train.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M059,macro \splitNERAmhValidation,250,datasets/metadata/masakhaner_amh.json,splits.validation.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M060,macro \splitNERAmhTest,500,datasets/metadata/masakhaner_amh.json,splits.test.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M061,macro \splitNERTirTrain,"4{,}562",datasets/metadata/tigrinya_ner.json,splits.train.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M062,macro \splitNERTirValidation,570,datasets/metadata/tigrinya_ner.json,splits.validation.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M063,macro \splitNERTirTest,571,datasets/metadata/tigrinya_ner.json,splits.test.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M064,macro \splitAmQATrain,"1{,}723",datasets/metadata/amqa.json,splits.train.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M065,macro \splitAmQAValidation,600,datasets/metadata/amqa.json,splits.validation.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M066,macro \splitAmQATest,299,datasets/metadata/amqa.json,splits.test.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M067,macro \splitTigQATrain,644,datasets/metadata/tigqa.json,splits.train.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M068,macro \splitTigQAValidation,67,datasets/metadata/tigqa.json,splits.validation.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M069,macro \splitTigQATest,86,datasets/metadata/tigqa.json,splits.test.rows,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M070,macro \ptAlpha,0.50,results/provenance/stage1_spm_data.log.txt,results/provenance/stage1_spm_data.log.txt,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M071,macro \ptSampledAmh,"129{,}552",results/provenance/stage1_spm_data.log.txt,results/provenance/stage1_spm_data.log.txt,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M072,macro \ptSampledTir,"135{,}034",results/provenance/stage1_spm_data.log.txt,results/provenance/stage1_spm_data.log.txt,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M073,macro \ptTrainLines,"261{,}941",results/provenance/stage1_spm_data.log.txt,results/provenance/stage1_spm_data.log.txt,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M074,macro \ptTrainBlocks,"14{,}161",results/provenance/stage1_spm_data.log.txt,results/provenance/stage1_spm_data.log.txt,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M075,macro \ptValLines,"2{,}645",results/provenance/stage1_spm_data.log.txt,results/provenance/stage1_spm_data.log.txt,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M076,macro \ptValBlocks,142,results/provenance/stage1_spm_data.log.txt,results/provenance/stage1_spm_data.log.txt,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M077,macro \tokXlmrAmhFertility,2.0692,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) XLM-R amh fertility=2.0692,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,1.2,F1-4
M078,macro \tokXlmrAmhCompression,2.2950,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) XLM-R amh compression=2.295,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M079,macro \tokXlmrAmhRoundtrip,1.0000,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) XLM-R amh roundtrip=1.0,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M080,macro \tokXlmrTirFertility,3.1300,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) XLM-R tir fertility=3.13,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,2.1,F1-1
M081,macro \tokXlmrTirCompression,1.4591,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) XLM-R tir compression=1.4591,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M082,macro \tokXlmrTirRoundtrip,0.9954,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) XLM-R tir roundtrip=0.9954,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M083,macro \tokGlotAmhFertility,2.0255,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) Glot500 amh fertility=2.0255,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,bar without stated value,F1-6
M084,macro \tokGlotAmhCompression,2.3445,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) Glot500 amh compression=2.3445,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M085,macro \tokGlotAmhRoundtrip,1.0000,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) Glot500 amh roundtrip=1.0,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M086,macro \tokGlotTirFertility,2.4703,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) Glot500 tir fertility=2.4703,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,bar without stated value,F1-3
M087,macro \tokGlotTirCompression,1.8487,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) Glot500 tir compression=1.8487,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M088,macro \tokGlotTirRoundtrip,1.0000,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) Glot500 tir roundtrip=1.0,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M089,macro \tokVexAmhFertility,1.4888,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) VEXMLM amh fertility=1.4888,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,1.1,F1-5
M090,macro \tokVexAmhCompression,3.1896,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) VEXMLM amh compression=3.1896,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M091,macro \tokVexAmhRoundtrip,1.0000,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) VEXMLM amh roundtrip=1.0,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M092,macro \tokVexTirFertility,1.6928,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) VEXMLM tir fertility=1.6928,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,1.3,F1-2
M093,macro \tokVexTirCompression,2.6979,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) VEXMLM tir compression=2.6979,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M094,macro \tokVexTirRoundtrip,0.9987,results/spmerge_tokenizer_metrics.json,(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) VEXMLM tir roundtrip=0.9987,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M095,macro \tokFertRedAmh,28.0,results/spmerge_tokenizer_metrics.json,"(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) (XLM-R - VEXMLM) / XLM-R fertility, amh",1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,8%,F1-8
M096,macro \tokFertRedTir,45.9,results/spmerge_tokenizer_metrics.json,"(Glot500: results/provenance/tokenizer_metrics_2026-08-15.json) (XLM-R - VEXMLM) / XLM-R fertility, tir",1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,38%,F1-8
M097,macro \dsSAAmhVex,0.4978 $\pm$ 0.0331,results/downstream_task_metrics.csv,afrisenti Accuracy (= results/spm_stage2/afrisenti-seed42..46.json metrics.test_accuracy),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.79,T4-2
M098,macro \dsSAAmhXlmr,0.5073,results/baselines/xlmr_seed42/afrisenti/results.json,metrics.test_accuracy,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.77,T4-1
M099,macro \dsSAAmhDiff,-0.0094,VEXMLM,"mean - XLM-R, unrounded (within 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M100,macro \dsSAAmhDiffAbs,0.0094,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M101,macro \dsNERAmhVex,0.9413 $\pm$ 0.0026,results/downstream_task_metrics.csv,masakhaner_amh Accuracy (= results/spm_stage2/masakhaner_amh-seed42..46.json metrics.test_accuracy),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.78,T4-5
M102,macro \dsNERAmhXlmr,0.9366,results/baselines/xlmr_seed42/masakhaner_amh/results.json,metrics.test_accuracy,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.75,T4-4
M103,macro \dsNERAmhDiff,+0.0046,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M104,macro \dsNERAmhDiffAbs,0.0046,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M105,macro \dsNERTirVex,0.9515 $\pm$ 0.0005,results/downstream_task_metrics.csv,tigrinya_ner Accuracy (= results/spm_stage2/tigrinya_ner-seed42..46.json metrics.test_accuracy),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.78,T4-5
M106,macro \dsNERTirXlmr,0.9431,results/baselines/xlmr_seed42/tigrinya_ner/results.json,metrics.test_accuracy,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.75,T4-4
M107,macro \dsNERTirDiff,+0.0084,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M108,macro \dsNERTirDiffAbs,0.0084,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M109,macro \dsQAEMAmhVex,32.57 $\pm$ 0.77,results/downstream_task_metrics.csv,amqa EM (= results/spm_stage2/amqa-seed42..46.json metrics.exact_match),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.77,T4-8
M110,macro \dsQAEMAmhXlmr,41.50,results/baselines/xlmr_seed42/amqa/results.json,metrics.exact_match,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.66,T4-7
M111,macro \dsQAEMAmhDiff,-8.93,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M112,macro \dsQAEMAmhDiffAbs,8.93,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M113,macro \dsQAEMTirVex,2.39 $\pm$ 0.82,results/downstream_task_metrics.csv,tigqa EM (= results/spm_stage2/tigqa-seed42..46.json metrics.exact_match),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.77,T4-8
M114,macro \dsQAEMTirXlmr,13.43,results/baselines/xlmr_seed42/tigqa/results.json,metrics.exact_match,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.66,T4-7
M115,macro \dsQAEMTirDiff,-11.04,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M116,macro \dsQAEMTirDiffAbs,11.04,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M117,macro \dsQAFoneAmhVex,48.85 $\pm$ 0.96,results/downstream_task_metrics.csv,amqa F1 (= results/spm_stage2/amqa-seed42..46.json metrics.f1),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.79,T4-11
M118,macro \dsQAFoneAmhXlmr,58.46,results/baselines/xlmr_seed42/amqa/results.json,metrics.f1,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.78,T4-10
M119,macro \dsQAFoneAmhDiff,-9.61,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M120,macro \dsQAFoneAmhDiffAbs,9.61,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M121,macro \dsQAFoneTirVex,9.76 $\pm$ 0.97,results/downstream_task_metrics.csv,tigqa F1 (= results/spm_stage2/tigqa-seed42..46.json metrics.f1),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.79,T4-11
M122,macro \dsQAFoneTirXlmr,27.90,results/baselines/xlmr_seed42/tigqa/results.json,metrics.f1,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,0.78,T4-10
M123,macro \dsQAFoneTirDiff,-18.13,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M124,macro \dsQAFoneTirDiffAbs,18.13,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M125,macro \appSAMacroFAmhVex,0.4971 $\pm$ 0.0193,results/downstream_task_metrics.csv,afrisenti Macro-F1 (= results/spm_stage2/afrisenti-seed42..46.json metrics.test_macro_f1),1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M126,macro \appSAMacroFAmhXlmr,0.5036,results/baselines/xlmr_seed42/afrisenti/results.json,metrics.test_macro_f1,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M127,macro \appSAMacroFAmhDiff,-0.0065,VEXMLM,"mean - XLM-R, unrounded (within 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M128,macro \appSAMacroFAmhDiffAbs,0.0065,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M129,macro \appNERMacroFAmhVex,0.7423 $\pm$ 0.0122,results/downstream_task_metrics.csv,masakhaner_amh Macro-F1 (= results/spm_stage2/masakhaner_amh-seed42..46.json metrics.test_macro_f1),1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M130,macro \appNERMacroFAmhXlmr,0.7109,results/baselines/xlmr_seed42/masakhaner_amh/results.json,metrics.test_macro_f1,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M131,macro \appNERMacroFAmhDiff,+0.0314,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M132,macro \appNERMacroFAmhDiffAbs,0.0314,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M133,macro \appNERMacroFTirVex,0.8219 $\pm$ 0.0069,results/downstream_task_metrics.csv,tigrinya_ner Macro-F1 (= results/spm_stage2/tigrinya_ner-seed42..46.json metrics.test_macro_f1),1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M134,macro \appNERMacroFTirXlmr,0.7875,results/baselines/xlmr_seed42/tigrinya_ner/results.json,metrics.test_macro_f1,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M135,macro \appNERMacroFTirDiff,+0.0344,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M136,macro \appNERMacroFTirDiffAbs,0.0344,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M137,macro \appNEREntityFAmhVex,0.6347 $\pm$ 0.0148,results/downstream_task_metrics.csv,masakhaner_amh Entity-F1 (= results/spm_stage2/masakhaner_amh-seed42..46.json metrics.test_entity_f1),1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M138,macro \appNEREntityFAmhXlmr,0.6248,results/baselines/xlmr_seed42/masakhaner_amh/results.json,metrics.test_entity_f1,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M139,macro \appNEREntityFAmhDiff,+0.0099,VEXMLM,"mean - XLM-R, unrounded (within 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M140,macro \appNEREntityFAmhDiffAbs,0.0099,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M141,macro \appNEREntityFTirVex,0.7282 $\pm$ 0.0079,results/downstream_task_metrics.csv,tigrinya_ner Entity-F1 (= results/spm_stage2/tigrinya_ner-seed42..46.json metrics.test_entity_f1),1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M142,macro \appNEREntityFTirXlmr,0.6817,results/baselines/xlmr_seed42/tigrinya_ner/results.json,metrics.test_entity_f1,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M143,macro \appNEREntityFTirDiff,+0.0464,VEXMLM,"mean - XLM-R, unrounded (beyond 1 sd)",1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M144,macro \appNEREntityFTirDiffAbs,0.0464,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M145,macro \ablBase,94.57 $\pm$ 0.16,results/table5_ablation.csv,xlmr_baseline,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,96.1,T5-1
M146,macro \ablBaseNonOOV,93.27 $\pm$ 0.16,results/ablation/xlmr_baseline-seed42..46.json,metrics.non_oov_accuracy,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,96.1 (Table 3),T3-2
M147,macro \ablRand,87.04 $\pm$ 0.20,results/table5_ablation.csv,expansion_random_init,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,97.3,T5-2
M148,macro \ablRandNonOOV,90.06 $\pm$ 0.39,results/ablation/expansion_random_init-seed42..46.json,metrics.non_oov_accuracy,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M149,macro \ablRandDelta,-7.52,results/table5_ablation.csv,expansion_random_init Delta (from unrounded means),1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,+1.2,T5-5
M150,macro \ablRandDeltaAbs,7.52,magnitude,of the difference above,1e56e55,python3 scripts/make_paper_artifacts.py,VERIFIED,,
M151,macro \ablMean,87.63 $\pm$ 0.14,results/table5_ablation.csv,expansion_mean_init,1e56e55,python3 scripts/make_paper_artifacts.py,CORRECTED,97.8,T5-3
