claim_id,paper_location,claim_text_or_value,source_file,line_or_key_or_cell,commit,producing_script_and_command,status
M11,Abstract ('subword-averaging' init wording),"Abstract wording 'subword-averaging' -> deployed checkpoint actually uses global_mean_init (identical vector for all new rows), not the separate constituent_mean_init function that would match 'subword-averaging'",vocabulary_expansion/initialization.py; results/init_verification.json,"constituent_mean_init docstring (~lines 92-130): 'RESEARCH EXTENSION -- not the paper's method. Use global_mean for official VEXMLM results.'; init_verification.json: all 30,000 new rows bit-identical to the global mean, verdict='global_mean', confidence='high'",4b6cc53 (initialization.py); ce87877 (init_verification.json),vocabulary_expansion/initialization.py::constituent_mean_init (defined but NOT invoked for the released checkpoint),CORRECTED
M12,External citation (Glot500 comparison),"Glot500 reference stats: 395M params, 400K vocab",N/A (no repo computation),Glot500 used only as inference-time HF checkpoint id 'cis-lmu/glot500-base' for comparison eval runs; never loaded to compute its own param/vocab counts,N/A,N/A,EXTERNAL
M13,Sec 3.3 / vocab composition (stale alternate figure),"280,002 (actual) -> vs a stale/superseded MODEL_CARD figure of 576.5K tokens (250K + 145.9K amh + 130.5K tir)",reports/MODEL_CARD_VEXMLM_BASE.md; reports/internal/CLAIMS_AUDIT.md (gitignored),"MODEL_CARD_VEXMLM_BASE.md 'Vocabulary Composition' table shows 576.5K; CLAIMS_AUDIT.md item U4: 'contradicted. vocab_size is 280,002... 30,000 added, i.e. 10.9% of the 276,400 designed'","MODEL_CARD_VEXMLM_BASE.md tracked (see repo_map.md for commit); CLAIMS_AUDIT.md untracked/gitignored, no commit","N/A (stale document, not a producing script)",CORRECTED
P1,Table 1 row: pretraining max_seq_length,256,configs/base.yaml,pretraining.max_seq_length: 256 (~line 35),f117c33 / 4b6cc53,pretraining/run_mlm.py (reads config),VERIFIED
P2,Table 1 row: pretraining batch_size,32,configs/base.yaml,pretraining.per_device_train_batch_size: 32 (~line 36),f117c33 / 4b6cc53,pretraining/run_mlm.py:224-225,VERIFIED
P3,Table 1 row: pretraining epochs,"56 -> config default is 10, actual release trained with manual CLI override to 60 epochs, best checkpoint (by validation loss) landed at epoch 56",configs/base.yaml; checkpoints/vexmlm-stage1-spm/checkpoint-24808/trainer_state.json (gitignored); reports/internal/MLM_FINAL_REPORT_SPM.md (gitignored),"base.yaml pretraining.num_train_epochs: 10 (~line 37); trainer_state.json epoch=56.0, best_model_checkpoint=checkpoint-24808 of a 60-epoch override run","base.yaml unchanged since 4b6cc53; trainer_state.json and MLM_FINAL_REPORT_SPM.md untracked/gitignored, no commit",scripts/internal/slurm_pretrain_spm.sh (gitignored) launches pretraining/run_mlm.py --override pretraining.num_train_epochs=60,CORRECTED
P4,Table 1 row: pretraining LR,5e-5,configs/base.yaml,pretraining.learning_rate: 5.0e-5 (~line 38),f117c33 / 4b6cc53,pretraining/run_mlm.py,VERIFIED
P5,Table 1 row: pretraining LR schedule,linear with 6% warmup,configs/base.yaml; pretraining/run_mlm.py,"warmup_ratio: 0.06, lr_scheduler_type: linear (~lines 43-44); run_mlm.py:230-231 passes these into HF TrainingArguments/get_scheduler -> get_linear_schedule_with_warmup",f117c33 / 4b6cc53,pretraining/run_mlm.py:230-231,VERIFIED
P6,Table 1 row: pretraining weight_decay,0.01,configs/base.yaml,pretraining.weight_decay: 0.01 (~line 40),f117c33 / 4b6cc53,pretraining/run_mlm.py:228,VERIFIED
P7,Table 1 row: mlm_probability,0.15,configs/base.yaml,pretraining.mlm_probability: 0.15 (~line 41),f117c33 / 4b6cc53,pretraining/run_mlm.py:216-217 DataCollatorForLanguageModeling(mlm_probability=...),VERIFIED
P8,Table 1 row: grad_clip (max_grad_norm),1.0,configs/base.yaml,pretraining.max_grad_norm: 1.0 (~line 42),f117c33 / 4b6cc53,pretraining/run_mlm.py:229,VERIFIED
P9,Table 1 row: AdamW eps/beta1/beta2,"eps=1e-8, beta1=0.9, beta2=0.999 -- matches only via unpinned HF library defaults, not an explicit repo setting",configs/base.yaml; pretraining/run_mlm.py,"optimizer: adamw_torch (~line 39); no adam_beta1/adam_beta2/adam_epsilon key set anywhere (grep across pretraining/, finetuning/, configs/, src/ = 0 hits)",f117c33 / 4b6cc53,"pretraining/run_mlm.py:232 optim=p.get('optimizer','adamw_torch')",VERIFIED
P10,Table 1 row: pretraining precision,"fp16 -> bf16 (actual, on A100 SM80+ hardware)",configs/base.yaml; src/vexmlm/device.py; reports/internal/MLM_FINAL_REPORT_SPM.md (gitignored),"precision: auto (~line 79, 'auto -> bf16 on SM80+, else fp16'); device.py precision_flags() returns bf16=True on SM80+; job log: 'NVIDIA A100 80GB PCIe -- BF16'","base.yaml f117c33/4b6cc53; device.py 4b6cc53; MLM_FINAL_REPORT_SPM.md untracked/gitignored, no commit",pretraining/run_mlm.py via src/vexmlm/device.py::precision_flags(),CORRECTED
P11,Table 1 row: pretraining trainable params,ALL params trainable,configs/base.yaml; pretraining/run_mlm.py,"freeze_layers: [] ('all parameters trainable', ~line 46); docstring: 'All parameters are trainable (paper Sec. 4)'; grep for requires_grad/freeze = 0 matches",f117c33 / 4b6cc53,pretraining/run_mlm.py,VERIFIED
F1,Table 1 row: finetuning max_seq_length,256,"configs/base.yaml; finetuning/{ner,qa,sentiment}/run_*.py","finetuning.max_seq_length: 256 (~line 56); consumed in ner:168, qa:227, sentiment:137",f117c33,"finetuning/{ner,qa,sentiment}/run_*.py",VERIFIED
F2,Table 1 row: finetuning batch_size,32,configs/base.yaml,finetuning.per_device_train_batch_size: 32 (~line 57),f117c33,"finetuning/{ner,qa,sentiment}/run_*.py",VERIFIED
F3,Table 1 row: finetuning epochs,4,configs/base.yaml,finetuning.num_train_epochs: 4 (~line 58); no override found anywhere,f117c33,"finetuning/{ner,qa,sentiment}/run_*.py (ner:176, qa:259, sentiment:150)",VERIFIED
F4,Table 1 row: finetuning LR,2e-5,configs/base.yaml,finetuning.learning_rate: 2.0e-5 (~line 59),f117c33,"finetuning/{ner,qa,sentiment}/run_*.py",VERIFIED
F5,Table 1 row: finetuning LR schedule,linear decay+warmup,configs/base.yaml,"finetuning.warmup_ratio: 0.1, lr_scheduler_type: linear (~lines 63-64; 10% warmup for finetuning vs 6% for pretraining)",f117c33,"finetuning/{ner,qa,sentiment}/run_*.py (ner:184-185, qa:267-268, sentiment:158-159)",VERIFIED
F6,Table 1 row: finetuning weight_decay,0.01,configs/base.yaml,finetuning.weight_decay: 0.01 (~line 61),f117c33,"finetuning/{ner,qa,sentiment}/run_*.py",VERIFIED
F7,Table 1 row: finetuning grad_clip,1.0,configs/base.yaml,finetuning.max_grad_norm: 1.0 (~line 62),f117c33,"finetuning/{ner,qa,sentiment}/run_*.py",VERIFIED
F8,Table 1 row: finetuning AdamW betas,"same as pretraining (eps=1e-8, 0.9, 0.999), inherited via unpinned library defaults","configs/base.yaml; finetuning/{ner,qa,sentiment}/run_*.py",optimizer: adamw_torch (~line 60); no beta/eps override in any of the 3 scripts (grep = 0 hits),f117c33,"finetuning/{ner,qa,sentiment}/run_*.py",VERIFIED
F9,Table 1 row: finetuning precision,"fp16 -> bf16 (actual, same mechanism/hardware as pretraining)",configs/base.yaml; src/vexmlm/device.py,"precision: auto (same key as pretraining, ~line 79), applied via precision_flags() in each script (ner:145, qa:224, sentiment:94)",f117c33 (finetuning scripts); 4b6cc53 (device.py),"finetuning/{ner,qa,sentiment}/run_*.py via src/vexmlm/device.py::precision_flags()",CORRECTED
F10,Table 1 row: finetuning trainable params ('Embedding + Output head' only),"partial freeze (embedding + output head only) -> full model is fine-tuned end to end, no freezing code found",finetuning/ner/run_ner.py; finetuning/qa/run_qa.py; finetuning/sentiment/run_sentiment.py,"grep -n 'requires_grad|freeze' across all 3 scripts = 0 matches; models loaded via plain AutoModelFor*.from_pretrained (ner:165-166, qa:236, sentiment:134-135), no freezing step before Trainer(...).train()",f117c33,"finetuning/{ner,qa,sentiment}/run_*.py",CORRECTED
S42-1,Sec 4.2 para (training config sentence),paper text says 'constant learning rate' AND 'linear schedule with 6% warmup' in the same sentence (self-contradictory) -> actual scheduler is unambiguously linear-decay-with-warmup; no 'constant' scheduler appears anywhere in code/config/logs,configs/base.yaml; pretraining/run_mlm.py; reports/internal/MLM_FINAL_REPORT_SPM.md (gitignored),"lr_scheduler_type: linear (~line 44); run_mlm.py:230-231 -> HF get_linear_schedule_with_warmup; MLM_FINAL_REPORT_SPM.md: 'Warmup ran to epoch 3.6. The curve descends steeply through roughly epoch 30' (ramp-then-decay, not constant)","base.yaml f117c33/4b6cc53; MLM_FINAL_REPORT_SPM.md untracked/gitignored, no commit",pretraining/run_mlm.py:230-231,CORRECTED
D1,Sec 4.3/4.4 dataset description,"'110,000+ tweets, 14 languages' (upstream AfriSenti collection, EXTERNAL) -> this repo's paper-release integration uses only the Amharic config, 9,480 rows total (5,984/1,497/1,999)",datasets/metadata/afrisenti.json; datasets/cards/afrisenti.md; reports/internal/EXPANDED_MULTILINGUAL_EVALUATION_PLAN.md (gitignored),afrisenti.json total_rows=9480; wc -l on raw TSVs confirms 5985/1498/2000 incl. header; 3-class confirmed (positive/negative/neutral); 14-language figure matches upstream AfriSenti-Hub collection (12 trainable + 2 zero-shot),"5df44f1 (card/metadata); 1a486b6 (14-language inventory, non-paper expanded eval); MLM_PLAN doc untracked",datasets/manager.py loads via HF afrisenti config; scripts/acquire_datasets.py,CORRECTED
D2,Sec 4.3/4.4 dataset description,"'MasakhaNER: 10 languages... PER/LOC/ORG/MISC' (matches original MasakhaNER v1, 2021, EXTERNAL) -> this repo's paper-release NER data is MasakhaNER-Amharic only, tags PER/ORG/LOC/DATE (no MISC); the repo's masakhaner2 resource (20 languages, non-paper expanded eval only) is v2, not v1",datasets/metadata/masakhaner2.json; datasets/cards/masakhaner_amh.md,"masakhaner2.json 'version': 'MasakhaNER 2.0 (20 languages)'; masakhaner_amh.md tag set PER/ORG/LOC/DATE, no MISC",5df44f1; c66c1a5 'Correct masakhaner_amh provenance...',datasets/manager.py; finetuning/ner/run_ner.py,CORRECTED
D3,Sec 4.4 (Tigrinya NER citation),Separate Tigrinya NER dataset attributed to Yohannes & Amagasa 2022,docs/DATASET_PROVENANCE.md; docs/DATASET_REDISTRIBUTION.md; datasets/registry.py; datasets/cards/tigrinya_ner.md,"DATASET_PROVENANCE.md: 'Citation | Yohannes and Amagasa (2022)'; DATASET_REDISTRIBUTION.md: 'Yohannes & Amagasa (2022), ACM SIGAPP Applied Computing Review 22(3):56-68'",5df44f1; c66c1a5; 3298cf3,scripts/acquire_datasets.py; datasets/manager.py,VERIFIED
D4,Sec 4.4 (QA datasets),TIGQA (Tigrinya) and AmQA (Amharic) datasets exist and are used,datasets/cards/tigqa.md; datasets/cards/amqa.md; datasets/metadata/tigqa.json; datasets/metadata/amqa.json; docs/DATASET_PROVENANCE.md,"TIGQA: Zenodo 11423987, TIGQA-1.0, CC BY 4.0, 797 pairs -> 644/67/86; AmQA: github.com/semantic-systems/amharic-qa, MIT, SQuAD v2.0, official splits 1723/600/299",5df44f1; c66c1a5,finetuning/qa/run_qa.py; datasets/manager.py,VERIFIED
D5,Sec 4.4 (split methodology),80:10:10 split for datasets lacking standard splits,datasets/registry.py; docs/DATASET_PROVENANCE.md; docs/DATASET_REDISTRIBUTION.md,"registry.py (~line 63): 80:10:10 (644/67/86 of 797) applied ONLY to TIGQA, the sole dataset in the registry lacking an official split; all other task datasets use official upstream splits",5df44f1,datasets/registry.py; datasets/prepare.py,VERIFIED
D6,Table 6 / abstract (language count),"'19 languages' evaluated (paper text names 20) -> this repo's paper-release results (reports/RESULTS_SUMMARY.md) cover exactly 2 languages (Amharic, Tigrinya); a separate, explicitly non-paper 'expanded' evaluation later covers 27 unique languages but is still missing 3 of the paper's 20 named languages entirely (Tigre, Gurage, Harari)",reports/internal/EVALUATION_19_LANGUAGES_RECONSTRUCTION.md (gitignored); reports/internal/CLAIMS_AUDIT.md (gitignored); results/multilingual_evaluation/aggregated/language_coverage.csv; results/multilingual_evaluation/aggregated/MULTILINGUAL_RESULTS.md,"RECONSTRUCTION.md (2026-08-15): 'no 19-language target exists anywhere in this codebase'; CLAIMS_AUDIT.md item U3: 'no data exists... Any such claim would be fabrication'; language_coverage.csv lists 27 unique language rows (14 AfriSenti + 20 MasakhaNER2, some overlap); grep -rniE 'tigre[^s]|gurage|harari' across whole repo returns zero dataset hits (only a PRESENTATION_NOTES.md mention that Tigre/Ge'ez generalization is untested)","RECONSTRUCTION.md and CLAIMS_AUDIT.md untracked/gitignored, no commit; 1a486b6 (expanded eval data, 2026-08-16)","evaluation/aggregate_multilingual.py; scripts/slurm_multilingual_{sa,ner,qa}.sh",UNTRACEABLE
T2-1,"Table 2 row: Tigrinya parity (XLM-R/Glot500/VEXMLM, relative to English)",1.36/1.20/0.27,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-2,"Table 2 row: Amharic parity (XLM-R/Glot500/VEXMLM, relative to English)",0.82/0.90/0.39,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-3,"Table 2 row: Ge'ez parity (XLM-R/Glot500/VEXMLM, relative to English)",0.45/0.31/0.73,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-4,"Table 2 row: Tigre parity (XLM-R/Glot500/VEXMLM, relative to English)",0.82/0.88/0.89,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-5,"Table 2 row: Harari parity (XLM-R/Glot500/VEXMLM, relative to English)",0.41/0.14/0.88,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-6,"Table 2 row: Gurage parity (XLM-R/Glot500/VEXMLM, relative to English)",0.62/0.12/0.89,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-7,"Table 2 row: Afar parity (XLM-R/Glot500/VEXMLM, relative to English)",0.54/0.30/0.90,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-8,"Table 2 row: Oromo parity (XLM-R/Glot500/VEXMLM, relative to English)",1.27/0.90/0.93,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-9,"Table 2 row: Afrikaans parity (XLM-R/Glot500/VEXMLM, relative to English)",1.18/1.30/0.96,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-10,"Table 2 row: German parity (XLM-R/Glot500/VEXMLM, relative to English)",1.09/1.10/0.98,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-11,"Table 2 row: Arabic parity (XLM-R/Glot500/VEXMLM, relative to English)",1.27/1.30/1.16,"N/A -- deleted from reports/RESULTS_SUMMARY.md, no generating script ever existed for this metric/table shape","commit 3d96f3b message: 'an 11-language parity table, when parity requires a sentence-aligned parallel corpus that is not present and the artifact records valid=false'; deleted table matched these 11 values byte-for-byte per `git show 3d96f3b -- reports/RESULTS_SUMMARY.md`","3d96f3b 'Replace unsupported result tables with the verified evaluation' (2026-08-17, deletion commit)","no producing script found (evaluation/run_intrinsic.py only computes amh/tir parity, flagged valid:false; no code path for the other 9 languages or a Glot500 column)",UNTRACEABLE
T2-note,"Table 2 (parity, amh/tir only -- different, non-comparable metric)","amh/tir parity as actually computed in the repo (not the paper's per-language-vs-English metric): XLM-R amh/tir=0.6611, VEXMLM amh/tir=0.8795, both flagged valid=false",results/spmerge_tokenizer_metrics.json,"'parity' key, XLM-R and VEXMLM entries, valid:false (amh/tir dev corpora are unaligned, 2,588 vs 2,811 unrelated sentences)",d825163,evaluation/run_intrinsic.py --out results/spmerge_tokenizer_metrics.json (--parallel deliberately omitted),UNTRACEABLE
Fig1-1,Figure 1 / fertility text,2.1 -> 1.3 (-38%) -> actual measured Tigrinya fertility is 3.1300 -> 1.6928 (-45.9%),results/spmerge_tokenizer_metrics.json,tokenizers.'xlm-roberta-base'.per_language.tir.fertility=3.1300; VEXMLM tir fertility=1.6928,d825163,evaluation/run_intrinsic.py --out results/spmerge_tokenizer_metrics.json,CORRECTED
Fig1-2,Figure 1 / fertility text,1.2 -> 1.1 (-8%) -> actual measured Amharic fertility is 2.0692 -> 1.4888 (-28.0%),results/spmerge_tokenizer_metrics.json,tokenizers.'xlm-roberta-base'.per_language.amh.fertility=2.0692; VEXMLM amh fertility=1.4888,d825163,evaluation/run_intrinsic.py --out results/spmerge_tokenizer_metrics.json,CORRECTED
Fig1-3,Figure 1 / fertility text,English fertility: VEXMLM=2.1 vs XLM-R=1.1,N/A,no English-language tokenizer evaluation exists anywhere in the repo; results/spmerge_tokenizer_metrics.json covers only amh/tir,N/A,N/A,UNTRACEABLE
Fig1-4,Figure 1 (visual artifact),A figure/chart depicting fertility reduction,reports/internal/FIGURE_PROVENANCE_AUDIT.md (gitignored),"'Only two figures exist' in the entire repo: stage1_loss.svg and stage1_perplexity.svg (MLM training curves, unrelated to fertility); 'No plotting code exists anywhere in the repository' (grep matplotlib/seaborn/plotly = 0 hits)","untracked/gitignored, no commit",N/A -- no producing script exists,UNTRACEABLE
T3-1,"Table 3 row: Amharic accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",98.1/91.1/98.1/92.2,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-2,"Table 3 row: Tigrinya accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",96.1/78.1/98.2/89.5,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-3,"Table 3 row: Hausa accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",97.0/90.2/97.2/95.6,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
